description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Massachusetts : coal,thousand megawatthours,ELEC.GEN.COW-MA-99.A,11051,11503,10896,10526,12034,11138,12024,10629,9028,8306,4059,2137,3959,2795,2253,1875,1136,0,0,0,0,0,0,0,0
Massachusetts : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-MA-99.A,8512,6800,7459,7533,7026,2328,3052,2108,897,296,197,150,390,1005,777,422,266,461,104,36,81,756,97,177,402
Massachusetts : petroleum coke,thousand megawatthours,ELEC.GEN.PC-MA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts : natural gas,thousand megawatthours,ELEC.GEN.NG-MA-99.A,11697,15869,22424,20972,20369,23307,24925,21514,20988,25582,25940,24672,21257,18498,21007,21144,22153,18386,15407,14177,15010,15776,14774,16203,17807
Massachusetts : other gases,thousand megawatthours,ELEC.GEN.OOG-MA-99.A,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts : nuclear,thousand megawatthours,ELEC.GEN.NUC-MA-99.A,5144,5769,4978,5939,5475,5830,5120,5869,5396,5918,5085,5860,4331,5769,4995,5414,5047,4442,2177,--,--,--,--,--,--
Massachusetts : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-MA-99.A,703,875,1075,998,1042,1513,797,1156,1201,996,1149,912,992,902,827,713,1037,1134,976,844,1118,877,1165,881,827
Massachusetts : other renewables,thousand megawatthours,ELEC.GEN.AOR-MA-99.A,1313,1272,1253,1230,1258,1279,1240,1255,1229,1274,1207,1277,1448,1730,1833,2030,2181,2369,2379,2649,2769,3087,3111,3221,3614
Massachusetts : wind,thousand megawatthours,ELEC.GEN.WND-MA-99.A,--,0,--,--,--,--,--,4,6,22,61,90,205,225,215,216,233,221,211,238,209,216,182,169,210
Massachusetts : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MA-99.A,--,--,--,--,--,--,--,0,0,1,5,30,106,306,451,609,788,978,1164,1404,1587,1934,2015,2127,2529
Massachusetts : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MA-99.A,--,--,--,--,--,--,--,0,0,1,5,30,105,305,451,609,788,978,1164,1404,1587,1934,2015,2127,2529
Massachusetts : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,2,--,--,--,--,--,--,--,--,--,--,--
Massachusetts : geothermal,thousand megawatthours,ELEC.GEN.GEO-MA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts : biomass,thousand megawatthours,ELEC.GEN.BIO-MA-99.A,1313,1272,1253,1230,1258,1279,1240,1252,1223,1251,1140,1158,1137,1199,1167,1204,1160,1169,1004,1006,973,937,914,925,875
Massachusetts : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-MA-99.A,130,107,120,114,120,125,119,123,115,125,101,101,77,125,120,129,131,107,92,104,70,45,36,60,76
Massachusetts : other biomass,thousand megawatthours,ELEC.GEN.WAS-MA-99.A,1183,1165,1134,1116,1138,1154,1121,1129,1108,1125,1039,1056,1061,1073,1047,1075,1030,1062,912,902,903,892,878,865,799
Massachusetts : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-MA-99.A,-711,-843,-511,-498,-462,-579,-831,-798,-534,-337,-440,-308,-368,-458,-474,-500,-443,-464,-436,-403,-424,-400,-379,-483,-439
Massachusetts : other,thousand megawatthours,ELEC.GEN.OTH-MA-99.A,771,783,810,801,772,782,748,773,761,771,860,877,876,878,868,858,827,846,910,911,924,930,928,917,838
