description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
New Hampshire : nuclear,thousand megawatthours,ELEC.GEN.NUC-NH-99.A,8693,9295,9276,10178,9456,9398,10764,9350,8817,10910,8363,8189,10927,10168,9484,10761,9991,10062,10907,9865,9856,10922,9535,9677,10910
New Hampshire : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-NH-99.A,991,1141,1331,1316,1799,1529,1265,1633,1680,1478,1605,1247,1427,1381,1270,1145,1413,1355,1462,1228,1025,1201,1592,1411,1353
New Hampshire : other renewables,thousand megawatthours,ELEC.GEN.AOR-NH-99.A,1026,865,796,883,942,746,1123,1175,1198,1232,1091,1381,1695,1952,2048,2122,2022,1793,1647,1393,1437,1339,1194,1113,1280
New Hampshire : wind,thousand megawatthours,ELEC.GEN.WND-NH-99.A,--,--,--,--,--,--,--,10,62,76,66,209,389,412,423,432,412,407,433,525,504,482,411,445,476
New Hampshire : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,4,4,3,4,4
New Hampshire : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,4,4,3,4,4
New Hampshire : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire : geothermal,thousand megawatthours,ELEC.GEN.GEO-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire : biomass,thousand megawatthours,ELEC.GEN.BIO-NH-99.A,1026,865,796,883,942,746,1123,1165,1135,1157,1025,1173,1306,1541,1624,1689,1610,1386,1214,865,929,853,779,664,800
New Hampshire : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-NH-99.A,859,700,637,728,786,590,970,1010,984,1030,917,1035,1169,1415,1506,1564,1472,1248,1081,732,789,711,642,528,655
New Hampshire : other biomass,thousand megawatthours,ELEC.GEN.WAS-NH-99.A,167,165,159,155,156,156,153,155,151,127,108,137,137,125,119,125,138,138,133,133,140,141,138,136,145
New Hampshire : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire : other,thousand megawatthours,ELEC.GEN.OTH-NH-99.A,59,60,60,63,58,59,59,58,58,57,64,66,61,50,50,49,49,48,55,56,55,50,51,50,52
New Hampshire : all solar,thousand megawatthours,ELEC.GEN.TSN-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,14,24,52,87,108,130,161,197,244,302,365,412
New Hampshire : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,14,24,52,87,108,130,157,193,240,299,361,408
New Hampshire : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,4,4,3,4,4
New Hampshire : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,4,4,3,4,4
New Hampshire : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-RI-99.A,7502,7057,5621,4939,6053,5968,7050,7387,7697,7739,8722,8309,6247,6282,6939,6565,7615,8375,7624,8895,9323,7819,10431,9777,9585
Rhode Island : coal,thousand megawatthours,ELEC.GEN.COW-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-RI-99.A,70,58,58,49,57,33,34,26,17,12,14,18,51,88,114,26,58,76,11,4,13,60,31,8,67
Rhode Island : petroleum coke,thousand megawatthours,ELEC.GEN.PC-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island : natural gas,thousand megawatthours,ELEC.GEN.NG-RI-99.A,7325,6310,5455,4784,5989,5780,6857,7198,7530,7583,8571,8185,6139,5963,6586,6291,7188,7897,7141,8272,8641,6964,9554,8791,8387
Rhode Island : other gases,thousand megawatthours,ELEC.GEN.OOG-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island : nuclear,thousand megawatthours,ELEC.GEN.NUC-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-RI-99.A,3,4,6,5,7,6,4,5,5,4,7,4,4,4,3,2,2,4,4,4,4,7,8,3,NM
Rhode Island : other renewables,thousand megawatthours,ELEC.GEN.AOR-RI-99.A,104,98,102,102,0,149,155,158,145,140,130,102,53,226,236,246,366,399,469,615,664,789,839,975,1129
Rhode Island : wind,thousand megawatthours,ELEC.GEN.WND-RI-99.A,--,--,--,--,--,--,--,--,--,3,3,1,3,10,10,27,149,159,206,215,172,209,169,178,185
Rhode Island : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,10,14,15,14,29,55,195,284,362,423,600,759
Rhode Island : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,10,14,15,14,29,55,195,284,362,423,600,759
Rhode Island : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island : geothermal,thousand megawatthours,ELEC.GEN.GEO-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island : biomass,thousand megawatthours,ELEC.GEN.BIO-RI-99.A,104,98,102,102,0,149,155,158,145,137,127,101,48,207,211,205,203,211,208,205,208,218,247,197,185
Rhode Island : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island : other biomass,thousand megawatthours,ELEC.GEN.WAS-RI-99.A,104,98,102,102,0,149,155,158,145,137,127,101,48,207,211,205,203,211,208,205,208,218,247,197,185
Rhode Island : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island : other,thousand megawatthours,ELEC.GEN.OTH-RI-99.A,--,587,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1,0,0,0
Rhode Island : all solar,thousand megawatthours,ELEC.GEN.TSN-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,21,28,44,69,124,235,494,671,888,1027,882,1069
Rhode Island : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,11,13,30,55,95,180,299,387,527,603,282,310
Rhode Island : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,10,14,15,14,29,55,195,284,362,423,600,759
Rhode Island : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,10,14,15,14,29,55,195,284,362,423,600,759
Rhode Island : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-VT-99.A,5481,5456,6028,5470,5717,7084,5824,6820,7282,6620,6776,6612,6885,7031,1982,1911,2141,2179,2290,2156,2108,2184,2480,2259,2258
Vermont : coal,thousand megawatthours,ELEC.GEN.COW-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-VT-99.A,32,9,23,18,10,7,8,4,2,5,8,3,5,5,3,4,7,3,1,2,3,5,3,3,NM
Vermont : petroleum coke,thousand megawatthours,ELEC.GEN.PC-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont : natural gas,thousand megawatthours,ELEC.GEN.NG-VT-99.A,11,3,2,3,2,2,2,3,4,4,3,3,3,2,1,2,2,2,2,2,2,1,1,1,1
Vermont : other gases,thousand megawatthours,ELEC.GEN.OOG-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont : nuclear,thousand megawatthours,ELEC.GEN.NUC-VT-99.A,4171,3963,4444,3858,4072,5107,4704,4895,5361,4782,4907,4989,4846,5061,--,--,--,--,--,--,--,--,--,--,--
Vermont : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-VT-99.A,884,1115,1154,1187,1211,1519,647,1493,1486,1347,1425,1151,1286,1175,1139,1078,1280,1268,1337,1130,1093,1141,1539,1284,1206
Vermont : other renewables,thousand megawatthours,ELEC.GEN.AOR-VT-99.A,383,366,405,404,422,450,464,425,429,482,433,465,745,788,838,828,852,906,951,1026,1008,1034,934,970,1046
Vermont : wind,thousand megawatthours,ELEC.GEN.WND-VT-99.A,12,10,11,11,11,11,11,10,12,14,33,107,236,311,325,291,305,373,377,384,338,409,340,355,384
Vermont : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-VT-99.A,--,--,--,--,--,--,--,--,--,--,2,5,17,24,48,59,99,107,147,183,173,202,192,217,236
Vermont : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-VT-99.A,--,--,--,--,--,--,--,--,--,--,2,5,17,24,48,59,99,107,147,183,173,202,192,217,236
Vermont : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont : geothermal,thousand megawatthours,ELEC.GEN.GEO-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont : biomass,thousand megawatthours,ELEC.GEN.BIO-VT-99.A,370,356,394,393,410,439,453,415,417,468,398,353,491,453,465,477,448,426,426,459,496,422,403,398,426
Vermont : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-VT-99.A,370,356,394,393,410,439,453,415,393,443,372,328,466,429,446,462,436,414,360,392,436,367,347,348,376
Vermont : other biomass,thousand megawatthours,ELEC.GEN.WAS-VT-99.A,--,--,--,--,--,--,--,0,24,25,25,26,26,23,19,16,12,12,66,67,60,55,57,49,50
Vermont : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont : other,thousand megawatthours,ELEC.GEN.OTH-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,-1,-3,2,3,3,1,0
Vermont : all solar,thousand megawatthours,ELEC.GEN.TSN-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,57,102,135,210,237,300,357,360,414,430,462,481
Vermont : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,33,54,76,111,130,153,174,186,211,239,245,245
Vermont : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-VT-99.A,--,--,--,--,--,--,--,--,--,--,2,5,17,24,48,59,99,107,147,183,173,202,192,217,236
Vermont : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-VT-99.A,--,--,--,--,--,--,--,--,--,--,2,5,17,24,48,59,99,107,147,183,173,202,192,217,236
Vermont : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Middle Atlantic,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlantic : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-MAT-99.A,399912,405484,401392,408506,425528,421777,434638,426348,414458,432396,429489,424451,427653,426164,427736,427030,417261,422940,431617,420680,427537,429507,424194,--,--
Middle Atlantic : coal,thousand megawatthours,ELEC.GEN.COW-MAT-99.A,144651,146751,149381,150351,153156,154388,154309,145766,123333,130370,114184,93597,95162,86097,68776,57757,49621,45970,39392,24519,30324,24428,12835,--,--
Middle Atlantic : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-MAT-99.A,21163,14435,24707,25954,28236,7844,9702,4643,3501,2292,1452,859,1417,3245,2767,997,934,2452,740,439,849,2307,504,--,--
Middle Atlantic : petroleum coke,thousand megawatthours,ELEC.GEN.PC-MAT-99.A,209,562,662,818,1657,722,430,366,341,519,344,76,212,192,229,155,175,127,99,43,0,0,0,--,--
Middle Atlantic : natural gas,thousand megawatthours,ELEC.GEN.NG-MAT-99.A,58442,64236,48450,53070,58047,71344,83584,83339,91620,107535,117798,140809,131369,138811,153353,168649,157483,166065,186102,204363,212550,223870,230740,--,--
Middle Atlantic : other gases,thousand megawatthours,ELEC.GEN.OOG-MAT-99.A,1177,659,764,623,605,665,695,768,612,658,755,740,873,652,641,695,666,741,713,773,643,652,739,--,--
Middle Atlantic : nuclear,thousand megawatthours,ELEC.GEN.NUC-MAT-99.A,144595,146572,144749,145181,150124,150089,151840,154062,155140,152469,152448,149059,156849,153260,158381,154380,159400,158378,154732,141690,135221,131297,131165,--,--
Middle Atlantic : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-MAT-99.A,24752,27270,27654,27183,28046,30224,27509,29298,30330,27822,31239,26905,27516,28745,28628,29272,33282,33927,34150,32238,31919,30089,31229,--,--
Middle Atlantic : other renewables,thousand megawatthours,ELEC.GEN.AOR-MAT-99.A,4541,4717,4740,4993,5193,5986,6165,7028,8779,9910,9950,10932,13089,14063,13734,14104,14580,14280,14231,15182,14768,15839,16047,--,--
Middle Atlantic : wind,thousand megawatthours,ELEC.GEN.WND-MAT-99.A,32,139,153,423,387,1032,1324,2001,3362,4463,4633,5132,6902,7556,7351,7437,7749,7588,7728,8290,7631,8161,8076,--,--
Middle Atlantic : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MAT-99.A,--,--,--,--,--,--,--,3,14,29,98,389,568,647,792,1049,1178,1350,1771,2284,2760,3541,4141,--,--
Middle Atlantic : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MAT-99.A,--,--,--,--,--,--,--,3,14,29,98,389,568,647,792,1049,1178,1350,1771,2284,2760,3541,4141,--,--
Middle Atlantic : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MAT-99.A,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Middle Atlantic : geothermal,thousand megawatthours,ELEC.GEN.GEO-MAT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Middle Atlantic : biomass,thousand megawatthours,ELEC.GEN.BIO-MAT-99.A,4509,4578,4587,4570,4805,4954,4841,5024,5402,5418,5219,5411,5619,5859,5591,5618,5653,5342,4732,4608,4377,4137,3830,--,--
Middle Atlantic : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-MAT-99.A,1099,1179,1147,1177,1215,1205,1112,1213,1230,1222,1070,1021,1100,1288,1086,1147,1142,974,788,843,823,761,482,--,--
Middle Atlantic : other biomass,thousand megawatthours,ELEC.GEN.WAS-MAT-99.A,3410,3399,3440,3393,3590,3749,3729,3811,4172,4196,4149,4390,4520,4571,4505,4471,4511,4368,3944,3765,3554,3375,3347,--,--
Middle Atlantic : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-MAT-99.A,-1688,-1725,-1771,-1786,-1774,-1753,-1760,-1301,-1413,-1431,-1124,-1022,-1184,-1307,-1101,-1237,-1183,-1205,-975,-1032,-1193,-1328,-1442,--,--
Middle Atlantic : other,thousand megawatthours,ELEC.GEN.OTH-MAT-99.A,2071,2005,2057,2120,2239,2268,2165,2379,2215,2252,2441,2497,2349,2405,2327,2257,2303,2206,2433,2466,2457,2353,2377,--,--
Middle Atlantic : all solar,thousand megawatthours,ELEC.GEN.TSN-MAT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,2622,3077,3594,4378,5176,6308,7668,8786,10994,12304,--,--
Middle Atlantic : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MAT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1975,2284,2545,3199,3825,4537,5384,6025,7453,8163,--,--
Middle Atlantic : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MAT-99.A,--,--,--,--,--,--,--,3,14,29,98,389,568,647,792,1049,1178,1350,1771,2284,2760,3541,4141,--,--
Middle Atlantic : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MAT-99.A,--,--,--,--,--,--,--,3,14,29,98,389,568,647,792,1049,1178,1350,1771,2284,2760,3541,4141,--,--
Middle Atlantic : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MAT-99.A,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Jersey,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-NJ-99.A,59421,61569,57399,55882,60550,60700,62671,63675,61811,65682,64694,65263,64751,68051,74609,77611,75645,75034,71019,61106,61434,65061,64229,60175,60886
New Jersey : coal,thousand megawatthours,ELEC.GEN.COW-NJ-99.A,9319,9605,9790,10322,11625,10862,10211,9028,5100,6418,4155,1897,2022,2519,1759,1315,1216,1193,1042,917,1026,498,0,0,0
New Jersey : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-NJ-99.A,1297,731,1542,1425,940,270,453,325,278,235,107,30,107,467,304,81,80,302,71,24,37,138,42,31,129
New Jersey : petroleum coke,thousand megawatthours,ELEC.GEN.PC-NJ-99.A,--,--,--,--,--,--,--,--,--,--,58,40,55,NM,71,65,76,60,71,43,0,0,0,0,0
New Jersey : natural gas,thousand megawatthours,ELEC.GEN.NG-NJ-99.A,16708,19069,14776,15962,15366,15668,18752,20752,20625,24902,25201,28285,27077,31410,36974,43807,37708,38863,40449,30631,29543,33394,33056,29649,29611
New Jersey : other gases,thousand megawatthours,ELEC.GEN.OOG-NJ-99.A,449,90,255,39,65,110,161,159,170,106,139,142,223,162,221,207,219,212,216,197,92,120,161,168,210
New Jersey : nuclear,thousand megawatthours,ELEC.GEN.NUC-NJ-99.A,30469,30866,29709,27082,31392,32568,32010,32195,34328,32771,33606,33110,33380,31507,33262,29885,34033,31982,26637,26738,28142,28319,28335,27677,27918
New Jersey : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-NJ-99.A,18,12,39,38,31,35,21,26,32,18,24,11,18,17,10,9,14,36,26,15,18,5,12,4,6
New Jersey : other renewables,thousand megawatthours,ELEC.GEN.AOR-NJ-99.A,844,847,907,806,875,917,844,905,960,850,956,1281,1447,1536,1595,1838,1877,1948,1984,2061,2105,2204,2233,2272,2625
New Jersey : wind,thousand megawatthours,ELEC.GEN.WND-NJ-99.A,--,--,--,--,--,16,20,21,21,13,11,12,11,23,22,21,22,23,22,20,20,22,18,19,20
New Jersey : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NJ-99.A,--,--,--,--,--,--,--,3,11,21,69,304,437,514,628,835,926,990,1165,1305,1378,1518,1544,1596,1993
New Jersey : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NJ-99.A,--,--,--,--,--,--,--,3,11,21,69,304,437,514,628,835,926,990,1165,1305,1378,1518,1544,1596,1993
New Jersey : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NJ-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Jersey : geothermal,thousand megawatthours,ELEC.GEN.GEO-NJ-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Jersey : biomass,thousand megawatthours,ELEC.GEN.BIO-NJ-99.A,844,847,907,806,875,901,823,882,928,816,876,965,999,998,946,983,929,935,797,736,708,663,671,657,611
New Jersey : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-NJ-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Jersey : other biomass,thousand megawatthours,ELEC.GEN.WAS-NJ-99.A,844,847,907,806,875,901,823,882,928,816,876,965,999,998,946,983,929,935,797,736,708,663,671,657,611
New Jersey : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-NJ-99.A,-142,-146,-120,-287,-283,-299,-269,-275,-202,-194,-197,-166,-202,-237,-170,-204,-162,-115,-94,-110,-120,-136,-165,-232,-235
New Jersey : other,thousand megawatthours,ELEC.GEN.OTH-NJ-99.A,459,495,502,496,538,569,489,559,520,575,644,633,625,640,582,607,583,552,616,590,590,519,554,607,622
New Jersey : all solar,thousand megawatthours,ELEC.GEN.TSN-NJ-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1888,2062,2220,2586,2903,3357,3809,4043,4691,4710,4992,5813
New Jersey : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NJ-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1373,1435,1385,1660,1912,2193,2504,2665,3172,3166,3395,3820
New Jersey : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NJ-99.A,--,--,--,--,--,--,--,3,11,21,69,304,437,514,628,835,926,990,1165,1305,1378,1518,1544,1596,1993
New Jersey : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NJ-99.A,--,--,--,--,--,--,--,3,11,21,69,304,437,514,628,835,926,990,1165,1305,1378,1518,1544,1596,1993
New Jersey : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NJ-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New York,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
New York : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-NY-99.A,143915,139592,137643,137965,146887,142265,145879,140322,133151,136962,137480,135768,136117,137077,138582,134377,128025,132521,131603,129430,124772,125185,124040,129015,131820
New York : coal,thousand megawatthours,ELEC.GEN.COW-NY-99.A,23432,23239,23581,22853,20598,20968,21406,19154,12759,13583,9426,4551,4697,4592,2380,1770,770,690,422,144,0,0,0,0,0
New York : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-NY-99.A,16495,11436,19202,20987,22759,6324,7942,3588,2489,1490,926,580,1007,2136,1892,643,598,1591,512,350,688,1857,413,313,1282
New York : petroleum coke,thousand megawatthours,ELEC.GEN.PC-NY-99.A,17,98,90,218,1254,454,253,158,159,515,263,0,0,0,0,0,0,0,0,0,0,0,--,--,--
New York : natural gas,thousand megawatthours,ELEC.GEN.NG-NY-99.A,38697,38451,28156,27294,31873,42134,45634,43856,41780,48916,50805,59462,54354,54380,56923,56793,47272,50810,47612,52966,56343,60312,58428,62346,62216
New York : other gases,thousand megawatthours,ELEC.GEN.OOG-NY-99.A,115,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,2,0,0,0,0,0,0
New York : nuclear,thousand megawatthours,ELEC.GEN.NUC-NY-99.A,40395,39617,40679,40640,42443,42224,42453,43209,43485,41870,42695,40775,44756,43039,44603,41571,42167,42919,44865,38430,31177,26812,27525,27073,28408
New York : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-NY-99.A,23084,25048,24269,23990,25783,27345,25253,26723,27615,25472,27997,24652,24973,26087,26015,26888,30145,29630,30621,29550,28765,27432,28434,27945,25838
New York : other renewables,thousand megawatthours,ELEC.GEN.AOR-NY-99.A,1801,1808,1735,1912,1988,2597,2775,3319,4467,4815,4896,5192,5888,6447,6319,6323,6605,6438,6926,7322,7219,8233,8663,10752,13629
